seed_a,seed_b,spearman,jaccard_top5,jaccard_top10
16,28,0.956646,0.644444,0.651685
16,29,0.944263,0.591398,0.719298
17,18,0.955673,0.557895,0.670455
17,19,0.954255,0.591398,0.642458
17,20,0.951885,0.541667,0.689655
17,21,0.948809,0.644444,0.661017
17,22,0.949148,0.574468,0.606557
17,23,0.948107,0.557895,0.615385
17,24,0.951393,0.574468,0.689655
17,25,0.953491,0.574468,0.68
17,26,0.95214,0.557895,0.651685
17,27,0.950728,0.591398,0.670455
17,28,0.951309,0.626374,0.689655
17,29,0.938802,0.525773,0.615385
18,19,0.947315,0.574468,0.689655
18,20,0.945321,0.541667,0.689655
18,21,0.94892,0.608696,0.661017
18,22,0.942486,0.591398,0.589189
18,23,0.946311,0.591398,0.615385
18,24,0.93905,0.591398,0.68
18,25,0.951873,0.557895,0.689655
18,26,0.955897,0.591398,0.68
18,27,0.941739,0.608696,0.606557
18,28,0.948235,0.591398,0.68
18,29,0.939158,0.626374,0.633333
19,20,0.94725,0.494949,0.719298
19,21,0.941004,0.626374,0.661017
19,22,0.926372,0.494949,0.56383
19,23,0.933054,0.465347,0.572193
19,24,0.935142,0.525773,0.651685
19,25,0.939029,0.541667,0.642458
19,26,0.949714,0.510204,0.651685
19,27,0.934787,0.591398,0.615385
19,28,0.943121,0.557895,0.651685
19,29,0.931656,0.608696,0.606557
20,21,0.943953,0.541667,0.719298
20,22,0.946259,0.557895,0.670455
20,23,0.945849,0.574468,0.670455
20,24,0.94529,0.541667,0.709302
20,25,0.94669,0.525773,0.719298
20,26,0.952699,0.574468,0.699422
20,27,0.94119,0.525773,0.68
20,28,0.944668,0.608696,0.719298
20,29,0.937043,0.557895,0.689655
21,22,0.946221,0.644444,0.633333
21,23,0.952362,0.608696,0.670455
21,24,0.942631,0.591398,0.709302
21,25,0.947746,0.608696,0.670455
21,26,0.952473,0.591398,0.670455
21,27,0.948363,0.608696,0.606557
21,28,0.948865,0.644444,0.670455
21,29,0.937789,0.644444,0.606557
22,23,0.949009,0.681818,0.709302
22,24,0.941163,0.608696,0.633333
22,25,0.951046,0.626374,0.606557
22,26,0.937956,0.591398,0.633333
22,27,0.948124,0.574468,0.606557
22,28,0.941605,0.591398,0.624309
22,29,0.943283,0.574468,0.555556
23,24,0.945597,0.574468,0.642458
23,25,0.942257,0.591398,0.624309
23,26,0.946739,0.681818,0.642458
23,27,0.94637,0.591398,0.642458
23,28,0.952294,0.591398,0.651685
23,29,0.943718,0.525773,0.589189
24,25,0.948298,0.557895,0.68
24,26,0.942505,0.574468,0.651685
24,27,0.943585,0.644444,0.642458
24,28,0.953134,0.608696,0.689655
24,29,0.94207,0.557895,0.651685
25,26,0.950181,0.626374,0.68
25,27,0.95702,0.608696,0.68
25,28,0.943033,0.644444,0.729412
25,29,0.947674,0.574468,0.689655
26,27,0.944995,0.626374,0.670455
26,28,0.942509,0.662921,0.661017
26,29,0.944314,0.557895,0.615385
27,28,0.946152,0.608696,0.624309
27,29,0.944059,0.626374,0.633333
28,29,0.943694,0.591398,0.689655
